id,job_title,work_type,workplace,company_name,company_page,experience_level,yrs_of_exp,address,city,country
1,Accountant Construction Field,Full Time,On-site,aspec ultimate environmental solution,https://wuzzuf.net/jobs/careers/aspec ultimate environmental solution-Egypt-127545,Experienced,5 - 5 Yrs of Exp,Heliopolis,Cairo,Egypt
2,Android Developer Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 4 Yrs of Exp,6th of October,Giza,Egypt
3,BI DWH BIG Data Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,4 - 5 Yrs of Exp,6th of October,Giza,Egypt
4,Data Base Developer RAID,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 5 Yrs of Exp,6th of October,Giza,Egypt
5,General Ledger Accountant GL Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
6,HR Manager Technology,Full Time,On-site,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Manager,7 - 10 Yrs of Exp,New Cairo,Cairo,Egypt
7,IOS Developer Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 4 Yrs of Exp,6th of October,Giza,Egypt
8,Node.js Developer Chatbot outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,4 - 6 Yrs of Exp,6th of October,Giza,Egypt
9,Purchasing Senior Specialist Red Sea Location,Full Time,On-site,REDCON Construction Co. S.A.E,https://wuzzuf.net/jobs/careers/REDCON-Construction-Co--S-A-E-Egypt-104934,Experienced,2 - 4 Yrs of Exp,Hurghada,Red Sea,Egypt
10,Senior Accountant - Odoo User - KSA,Full Time,On-site,Afaqy,https://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121,Experienced,5 - 8 Yrs of Exp,UnKnown,Riyadh,Saudi Arabia
11,Senior Mechanical Design Engineer HVAC & Firefighting And Plumbing,Full Time,On-site,Q Design,https://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265,Experienced,8 - 13 Yrs of Exp,Maadi,Cairo,Egypt
12,Senior People & Organisation Specialist HR,Full Time,On-site,APEX Pharma,https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Experienced,5+ Yrs of Exp,New Cairo,Cairo,Egypt
13,Software Developer Outsourced,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 5 Yrs of Exp,6th of October,Giza,Egypt
14,Talent Acquisition Senior Specialist  Manufacturing Background,Full Time,On-site,Egyptian German Automotive,https://wuzzuf.net/jobs/careers/egasae-com-5026,Experienced,4 - 6 Yrs of Exp,6th of October,Giza,Egypt
15,(Senior Property Consultant / Team Leader) - Primary only,Full Time,On-site,Confidential,UnKnown,Experienced,3 - 5 Yrs of Exp,New Cairo,Cairo,Egypt
16,3D Interior Designer/ Visualizer,Full Time,On-site,AEG Design & Construction,https://wuzzuf.net/jobs/careers/Aeg-Designs-Egypt-17241,Experienced,7+ Yrs of Exp,Sheikh Zayed,Giza,Egypt
17,AI & Computer Science Intern (Fresh Graduate),Internship,On-site,GetSircles Digital Agency,https://wuzzuf.net/jobs/careers/GetSircles-Egypt-2161,Entry Level,UnKnown,New Cairo,Cairo,Egypt
18,AI Agent Developer,Full Time,Hybrid,Confidential,UnKnown,Experienced,1 - 3 Yrs of Exp,Heliopolis,Cairo,Egypt
19,AI Architect / Developer,Full Time,Hybrid,TRIMETIS,https://wuzzuf.net/jobs/careers/TRIMETIS-Egypt-77031,Experienced,5+ Yrs of Exp,Maadi,Cairo,Egypt
20,AI Business Partner,Full Time,On-site,51 Talk,https://wuzzuf.net/jobs/careers/51talk-com-Egypt-109762,Entry Level,1 - 5 Yrs of Exp,Maadi,Cairo,Egypt
21,"AI Content Reviewer, IgniteTech (Remote) - $30,000/year USD",Full Time,UnKnown,Trilogy,https://wuzzuf.net/jobs/careers/Trilogy-United Arab Emirates-126645,Entry Level,UnKnown,UnKnown,Dubai,United Arab Emirates
22,AI Engineer,Full Time,On-site,Pure Group,https://wuzzuf.net/jobs/careers/Pure Group-Egypt-94604,Manager,5 - 7 Yrs of Exp,UnKnown,Cairo,Egypt
23,"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Full Time,Remote,Madar Soft,https://wuzzuf.net/jobs/careers/Madar-Soft-Egypt-14834,Experienced,3 - 5 Yrs of Exp,Fleming,Alexandria,Egypt
24,AI Engineer (Custom AI Solutions & GPT Tools) – On-Site,Full Time,On-site,Stellar Charter Nexus,https://wuzzuf.net/jobs/careers/stellar-charter-nexus-egypt-128136,Experienced,2+ Yrs of Exp,New Cairo,Cairo,Egypt
25,AI Engineering Manager,Full Time,Hybrid,Link Development,https://wuzzuf.net/jobs/careers/Link-Development-Egypt-15576,Entry Level,1 - 5 Yrs of Exp,UnKnown,Cairo,Egypt
26,AI Specialist,Full Time,Hybrid,Alwadi Holding,https://wuzzuf.net/jobs/careers/Alwadi-Holding-Egypt-77854,Experienced,1 - 3 Yrs of Exp,Mohandessin,Giza,Egypt
27,AI Trainer.,Full Time,On-site,Avanguard,https://wuzzuf.net/jobs/careers/Avanguard-Egypt-123929,Experienced,5 - 10 Yrs of Exp,New Cairo,Cairo,Egypt
28,AI Transcript Quality Editor - Financial Services,Full Time,Remote,Remoat Teams,https://wuzzuf.net/jobs/careers/remoat-teams-philippines-127740,Entry Level,0 - 3 Yrs of Exp,UnKnown,Cairo,Egypt
29,AI trainer Executive Leadership Track,Freelance,Project,Avanguard,https://wuzzuf.net/jobs/careers/Avanguard-Egypt-123929,Experienced,7 - 10 Yrs of Exp,New Cairo,Cairo,Egypt
30,ALL,Full Time,On-site,Cosmetics,https://wuzzuf.net/jobs/careers/Cosmetics-Egypt-127455,Experienced,2 - 5 Yrs of Exp,Nasr City,Cairo,Egypt
31,AP Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,1 - 3 Yrs of Exp,Smart Village,Giza,Egypt
32,AP Junior Accountant,Full Time,On-site,Nile Sugar,https://wuzzuf.net/jobs/careers/Nile-Sugar-Egypt-40520,Entry Level,0 - 1 Yrs of Exp,Agouza,Giza,Egypt
33,AP/AR Accountant,Full Time,On-site,Outservingplus,https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652,Experienced,3 - 5 Yrs of Exp,Alsadat City,Monufya,Egypt
34,AR Accountant,Full Time,On-site,Cartona,https://wuzzuf.net/jobs/careers/Cartona-Egypt-58044,Experienced,2 - 5 Yrs of Exp,Dokki,Giza,Egypt
35,AR Accountant,Full Time,On-site,Midea Group,https://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266,Experienced,2 - 4 Yrs of Exp,Smart Village,Giza,Egypt
36,AR Accountant (Customer Accounts),Full Time,On-site,IFT Corporation,https://wuzzuf.net/jobs/careers/IFT-Corporation-Egypt-16132,Experienced,3 - 5 Yrs of Exp,Mokattam,Cairo,Egypt
37,AR Accountants Supervisor,Full Time,On-site,United Distributors,https://wuzzuf.net/jobs/careers/United-Distributors-Egypt-41997,Experienced,5 - 7 Yrs of Exp,Zamalek,Cairo,Egypt
38,AX Developer,Full Time,On-site,Allamna Integrated Solutions,https://wuzzuf.net/jobs/careers/Youssef-Allam-Group-Egypt-7963,Entry Level,0 - 1 Yrs of Exp,Nasr City,Cairo,Egypt
39,AX Microsoft Dynamics Developer,Full Time,Hybrid,Sky Holding,https://wuzzuf.net/jobs/careers/Sky-Holding-Egypt-62614,Entry Level,0 - 1 Yrs of Exp,UnKnown,Cairo,Egypt
40,Academic Manager,Full Time,On-site,ECC Group,https://wuzzuf.net/jobs/careers/Egyptian-Cultural-Center-Egypt-17801,Manager,5 - 10 Yrs of Exp,Nasr City,Cairo,Egypt
41,Account Manager,Full Time,On-site,o2 Media Group,https://wuzzuf.net/jobs/careers/Media-Group-Egypt-26163,Experienced,4 - 6 Yrs of Exp,Dokki,Giza,Egypt
42,Account Manager,Full Time,On-site,EZeats,https://wuzzuf.net/jobs/careers/EZeats-Egypt-115140,Entry Level,1 - 3 Yrs of Exp,Heliopolis,Cairo,Egypt
43,Account Manager,Full Time,On-site,Octane solutions,https://wuzzuf.net/jobs/careers/Octane-solutions-Egypt-91162,Manager,2 - 3 Yrs of Exp,Heliopolis,Cairo,Egypt
44,Account Manager,Full Time,On-site,Stratoil Energy Services,https://wuzzuf.net/jobs/careers/Start-Oil-Egypt-35004,Experienced,2 - 7 Yrs of Exp,New Cairo,Cairo,Egypt
45,Account Manager,Full Time,On-site,Egylifts -مصاعد مصر,https://wuzzuf.net/jobs/careers/-112826,Experienced,5 - 8 Yrs of Exp,Nozha,Cairo,Egypt
46,Account Manager ( French Tour Operator ),Full Time,On-site,Emeco Travel,https://wuzzuf.net/jobs/careers/Emeco Travel-Egypt-89012,Experienced,3 - 10 Yrs of Exp,Downtown,Cairo,Egypt
47,Account Receivable Accountant,Full Time,On-site,SH Chemical,https://wuzzuf.net/jobs/careers/SH-Chemical-Egypt-43613,Experienced,2 - 5 Yrs of Exp,Badr City,Cairo,Egypt
48,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,2 - 4 Yrs of Exp,UnKnown,Cairo,Egypt
49,Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 4 Yrs of Exp,Smart Village,Giza,Egypt
50,Accountant,Full Time,On-site,Qanawat,https://wuzzuf.net/jobs/careers/Qanawat-Egypt-4393,Experienced,4 - 7 Yrs of Exp,Sheraton,Cairo,Egypt
51,Accountant,Full Time,On-site,"ELVAN Knitting, Dyeing and finishing S.A.E",https://wuzzuf.net/jobs/careers/Alwan-Egypt-89022,Experienced,2 - 4 Yrs of Exp,Bourj Alarab,Alexandria,Egypt
52,Accountant,Full Time,On-site,Lootah for Agriculture Investment,https://wuzzuf.net/jobs/careers/lootah-for-agriculture-investment-egypt-129028,Experienced,3 - 5 Yrs of Exp,Haram,Giza,Egypt
53,Accountant,Full Time,On-site,Elaskary&Associates,https://wuzzuf.net/jobs/careers/Elaskary&Associates-Egypt-115141,Experienced,1 - 3 Yrs of Exp,Fleming,Alexandria,Egypt
54,Accountant,Full Time,On-site,Sprint Trading,https://wuzzuf.net/jobs/careers/sprint-trading-egypt-129071,Entry Level,1 - 3 Yrs of Exp,UnKnown,Cairo,Egypt
55,Accountant,Full Time,On-site,BAMCLOTHING,https://wuzzuf.net/jobs/careers/BAMCLOTHING-Egypt-72685,Entry Level,1 - 3 Yrs of Exp,Shubra Alkhaymah,Qalubia,Egypt
56,Accountant,Full Time,On-site,Lavita Developments,https://wuzzuf.net/jobs/careers/Lavita-Real-Estate-Egypt-77503,Experienced,3 - 5 Yrs of Exp,Nasr City,Cairo,Egypt
57,Accountant,Full Time,On-site,Gazelle 3D Tech,https://wuzzuf.net/jobs/careers/Gazelle-3D-Tech-Egypt-62526,Entry Level,1 - 2 Yrs of Exp,6th of October,Giza,Egypt
58,Accountant,Full Time,On-site,Neisco for Modern Water Systems Production,https://wuzzuf.net/jobs/careers/Neisco-for-Modern-Water-Systems-Production-Egypt-49516,Experienced,2 - 2 Yrs of Exp,Nasr City,Cairo,Egypt
59,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,2 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
60,Accountant,Full Time,On-site,Mersal,https://wuzzuf.net/jobs/careers/Mersal-Egypt-45113,Entry Level,1 - 3 Yrs of Exp,Maadi,Cairo,Egypt
61,Accountant,Full Time,On-site,El Chourbagi,https://wuzzuf.net/jobs/careers/El Chourbagi-Egypt-112778,Manager,5 - 7 Yrs of Exp,Heliopolis,Cairo,Egypt
62,Accountant,Full Time,On-site,OROUBA For Food Industry (Basma),https://wuzzuf.net/jobs/careers/Ourba-for-industries--Basma--Egypt-107748,Experienced,2+ Yrs of Exp,UnKnown,Cairo,Egypt
63,Accountant,Full Time,On-site,Biddex,https://wuzzuf.net/jobs/careers/Biddex-Egypt-109804,Entry Level,1+ Yrs of Exp,Heliopolis,Cairo,Egypt
64,Accountant,Full Time,On-site,Al Ahly Medical Company,https://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459,Entry Level,1 - 2 Yrs of Exp,Giza,Giza,Egypt
65,Accountant,Full Time,On-site,Staff Arabia,https://wuzzuf.net/jobs/careers/Staff-Arabia-Egypt-69800,Experienced,3 - 4 Yrs of Exp,Sheikh Zayed,Giza,Egypt
66,Accountant,Full Time,On-site,Ghalioungui,https://wuzzuf.net/jobs/careers/-2153,Experienced,1 - 3 Yrs of Exp,Mokattam,Cairo,Egypt
67,Accountant,Full Time,On-site,Cairo international for development and investment,https://wuzzuf.net/jobs/careers/Cairo-international-for-development-and-investment-Egypt-90141,Experienced,5 - 6 Yrs of Exp,UnKnown,Cairo,Egypt
68,Accountant,Full Time,On-site,Al Ateeq Software,https://wuzzuf.net/jobs/careers/Al-Ateeq-Software-Egypt-111883,Experienced,4 - 5 Yrs of Exp,Nozha,Cairo,Egypt
69,Accountant,Full Time,On-site,Olico,https://wuzzuf.net/jobs/careers/Olico-Egypt-59300,Entry Level,1 - 2 Yrs of Exp,Badr City,Cairo,Egypt
70,Accountant,Full Time,On-site,PRO-TEC Egypt,https://wuzzuf.net/jobs/careers/Pro-Tec-Egypt-Egypt-10948,Entry Level,2 - 4 Yrs of Exp,Sheraton,Cairo,Egypt
71,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,5 - 10 Yrs of Exp,Nasr City,Cairo,Egypt
72,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,1 - 3 Yrs of Exp,Heliopolis,Cairo,Egypt
73,Accountant,Full Time,On-site,RAQMU for Building and Construction,https://wuzzuf.net/jobs/careers/DKS-Group-Egypt-79993,Experienced,3 - 5 Yrs of Exp,UnKnown,Cairo,Egypt
74,Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,2 - 3 Yrs of Exp,UnKnown,Cairo,Egypt
75,Accountant,Full Time,On-site,Nour Eldin Elsherif for Trading vehicles,https://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889,Entry Level,1 - 3 Yrs of Exp,Katameya,Cairo,Egypt
76,Accountant,Full Time,Hybrid,Seemo Social,https://wuzzuf.net/jobs/careers/seemo-social-egypt-128036,Experienced,3 - 5 Yrs of Exp,Maadi,Cairo,Egypt
77,Accountant,Full Time,On-site,Dyar for construction & contractors,https://wuzzuf.net/jobs/careers/--88055,Experienced,5 - 8 Yrs of Exp,6th of October,Giza,Egypt
78,Accountant,Full Time,On-site,Dubai International,https://wuzzuf.net/jobs/careers/-96307,Experienced,2 - 5 Yrs of Exp,UnKnown,Dubai,United Arab Emirates
79,Accountant,Full Time,On-site,Nassar Group,https://wuzzuf.net/jobs/careers/Nassar-Group-Egypt-16430,Entry Level,0 - 6 Yrs of Exp,Qalyub,Qalubia,Egypt
80,Accountant,Full Time,On-site,Junior-Tex,https://wuzzuf.net/jobs/careers/Junior-Tex-Egypt-122500,Experienced,3 - 5 Yrs of Exp,Obour City,Cairo,Egypt
81,Accountant,Full Time,On-site,Sumitomo Electric Egypt,https://wuzzuf.net/jobs/careers/SE-Wiring-Systems-EGYPT-Egypt-23300,Entry Level,1 - 2 Yrs of Exp,10th of Ramadan City,Cairo,Egypt
82,Accountant,Full Time,On-site,alsafar&partners,https://wuzzuf.net/jobs/careers/alsafar&partners-Egypt-126669,Experienced,5 - 10 Yrs of Exp,UnKnown,Cairo,Egypt
83,Accountant,Full Time,On-site,LEDA EGYPT COMPANY,https://wuzzuf.net/jobs/careers/LEDA-EGYPT-COMPANY-Egypt-87688,Experienced,4 - 6 Yrs of Exp,Ameria,Alexandria,Egypt
84,Accountant,Full Time,On-site,Eco agro science,https://wuzzuf.net/jobs/careers/Eco-agro-science-Egypt-87706,Entry Level,1 - 2 Yrs of Exp,Sheikh Zayed,Giza,Egypt
86,Accountant,Full Time,On-site,Real Technology LLC,https://wuzzuf.net/jobs/careers/Real-Technology-LLC-Egypt-124015,Entry Level,1 - 5 Yrs of Exp,UnKnown,Cairo,Egypt
87,Accountant,Full Time,On-site,Domain,https://wuzzuf.net/jobs/careers/Domain-Egypt-13778,Entry Level,1 - 3 Yrs of Exp,Nasr City,Cairo,Egypt
88,Accountant,Full Time,On-site,Alternative Option,https://wuzzuf.net/jobs/careers/-123681,Experienced,4 - 12 Yrs of Exp,Maadi,Cairo,Egypt
89,Accountant,Full Time,On-site,Insight medical supplies,https://wuzzuf.net/jobs/careers/Insight medical supplies-Egypt-127599,Entry Level,0 - 2 Yrs of Exp,UnKnown,Cairo,Egypt
90,Accountant,Full Time,On-site,Al Nagah Real Estate,https://wuzzuf.net/jobs/careers/Al Nagah Real Estate-Egypt-127573,Entry Level,1 - 2 Yrs of Exp,UnKnown,Alexandria,Egypt
91,Accountant,Full Time,On-site,Skarpt Company,https://wuzzuf.net/jobs/careers/Skarpt Company-Egypt-94099,Experienced,2 - 4 Yrs of Exp,Hadayek Alahram,Giza,Egypt
92,Accountant,Full Time,On-site,Reveal Industries,https://wuzzuf.net/jobs/careers/reveal-industries-Egypt-53219,Experienced,5+ Yrs of Exp,6th of October,Giza,Egypt
93,Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 2 Yrs of Exp,UnKnown,Giza,Egypt
94,Accountant,Full Time,On-site,ariika,https://wuzzuf.net/jobs/careers/ariika-Egypt-4920,Experienced,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
95,Accountant,Full Time,On-site,Adam Store,https://wuzzuf.net/jobs/careers/--109627,Senior Management,3 - 5 Yrs of Exp,Moharam Bek,Alexandria,Egypt
96,Accountant,Full Time,On-site,El Azzab Group,https://wuzzuf.net/jobs/careers/El Azzab Group-Egypt-127409,Experienced,5 - 20 Yrs of Exp,UnKnown,Cairo,Egypt
97,Accountant,Full Time,On-site,Mobishastra Technologies llc,https://wuzzuf.net/jobs/careers/Mobishastra Technologies llc-Egypt-127444,Entry Level,0 - 2 Yrs of Exp,Nasr City,Cairo,Egypt
98,Accountant,Full Time,On-site,Modern Structures & Equipment,https://wuzzuf.net/jobs/careers/Modern-Structures---Equipment-Egypt-15464,Experienced,3 - 5 Yrs of Exp,Dokki,Giza,Egypt
99,Accountant,Full Time,On-site,hvec,https://wuzzuf.net/jobs/careers/hvec-Egypt-112133,Experienced,4 - 10 Yrs of Exp,UnKnown,Alexandria,Egypt
100,Accountant,Full Time,On-site,Al Modon Company,https://wuzzuf.net/jobs/careers/Al Modon Company-Saudi Arabia-127354,Experienced,5 - 10 Yrs of Exp,UnKnown,Riyadh,Saudi Arabia
101,Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 4 Yrs of Exp,New Cairo,Cairo,Egypt
102,Accountant,Full Time,On-site,Aslan Egypt,https://wuzzuf.net/jobs/careers/--112795,Entry Level,0 - 1 Yrs of Exp,New Cairo,Cairo,Egypt
103,Accountant,Full Time,Hybrid,classera,https://wuzzuf.net/jobs/careers/Eureka-Egypt-27241,Entry Level,1 - 8 Yrs of Exp,New Cairo,Cairo,Egypt
104,Accountant,Full Time,On-site,Frutal for Food Industries,https://wuzzuf.net/jobs/careers/Frutal for Food Industries-Egypt-127032,Experienced,3 - 7 Yrs of Exp,New Cairo,Cairo,Egypt
105,Accountant,Full Time,On-site,Property Hills,https://wuzzuf.net/jobs/careers/Property-Hills-Egypt-42935,Experienced,1+ Yrs of Exp,Nasr City,Cairo,Egypt
106,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,3 - 5 Yrs of Exp,Nasr City,Cairo,Egypt
107,Accountant,Full Time,On-site,Sky Express,https://wuzzuf.net/jobs/careers/sky-express-Egypt-5449,Experienced,2 - 5 Yrs of Exp,Smouha,Alexandria,Egypt
108,Accountant,Full Time,On-site,Ezzelarab AAST,https://wuzzuf.net/jobs/careers/-124441,Experienced,1 - 4 Yrs of Exp,UnKnown,Cairo,Egypt
109,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,2 - 4 Yrs of Exp,Giza,Giza,Egypt
110,Accountant,Full Time,On-site,AME GROUP,https://wuzzuf.net/jobs/careers/AME-GROUP-Egypt-126364,Experienced,5 - 10 Yrs of Exp,Madinaty,Cairo,Egypt
111,Accountant,Full Time,On-site,Iso marble Co.,https://wuzzuf.net/jobs/careers/Al-Amanah-for-Marble-and-granite-Egypt-41737,Experienced,3 - 5 Yrs of Exp,Maadi,Cairo,Egypt
112,Accountant,Full Time,On-site,AD,https://wuzzuf.net/jobs/careers/AD-Egypt-125975,Experienced,2 - 5 Yrs of Exp,UnKnown,Monufya,Egypt
113,Accountant,Full Time,On-site,BIN NAJI GROUP,https://wuzzuf.net/jobs/careers/BIN NAJI GROUP-Egypt-126202,Entry Level,UnKnown,UnKnown,Guangzhou,China
114,Accountant,Full Time,Hybrid,Invenza Solutions,https://wuzzuf.net/jobs/careers/Invenza Solutions-Qatar-125950,Experienced,2 - 3 Yrs of Exp,UnKnown,Cairo,Egypt
115,Accountant,Full Time,On-site,Confidential,UnKnown,Experienced,1 - 5 Yrs of Exp,Maadi,Cairo,Egypt
116,Accountant,Full Time,On-site,Marina for Engineering Industries,https://wuzzuf.net/jobs/careers/Marina-for-Engineering-Industries-Egypt-40336,Entry Level,1+ Yrs of Exp,6th of October,Giza,Egypt
117,Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,2 - 4 Yrs of Exp,New Cairo,Cairo,Egypt
118,Accountant,Full Time,Hybrid,Savvy Design,https://wuzzuf.net/jobs/careers/Savvy Design-Egypt-126278,Experienced,2 - 4 Yrs of Exp,UnKnown,Giza,Egypt
119,Accountant,Full Time,UnKnown,Mayar Foods,https://wuzzuf.net/jobs/careers/mayar-foods-saudi-arabia-128579,Entry Level,UnKnown,UnKnown,Riyadh,Saudi Arabia
120,Accountant (Female),Full Time,On-site,TAMAA,https://wuzzuf.net/jobs/careers/TAMAA-Egypt-114688,Experienced,2 - 5 Yrs of Exp,New Cairo,Cairo,Egypt
121,Accountant (Junior Treasury),Full Time,On-site,OTAK Trading & Contracting,https://wuzzuf.net/jobs/careers/OTAK-Trading--amp--Contracting-Egypt-23496,Experienced,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
122,Accountant (Real Estate),Full Time,On-site,Blue Rock,https://wuzzuf.net/jobs/careers/Marina-Egypt-127185,Entry Level,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
123,Accountant - 3 Months Internship,Internship,On-site,Biddex,https://wuzzuf.net/jobs/careers/Biddex-Egypt-109804,Entry Level,UnKnown,Smouha,Alexandria,Egypt
124,Accountant - 3 Months Internship - Cairo,Internship,On-site,Biddex,https://wuzzuf.net/jobs/careers/Biddex-Egypt-109804,Entry Level,UnKnown,Heliopolis,Cairo,Egypt
125,Accountant - Chinese Speaker,Full Time,On-site,Real Technology LLC,https://wuzzuf.net/jobs/careers/Real-Technology-LLC-Egypt-124015,Experienced,3 - 10 Yrs of Exp,Maadi,Cairo,Egypt
126,Accountant - Nasr City,Full Time,On-site,Confidential,UnKnown,Experienced,3 - 4 Yrs of Exp,Nasr City,Cairo,Egypt
127,Accountant - general ledger,Full Time,On-site,Confidential,UnKnown,Experienced,4 - 15 Yrs of Exp,Mohandessin,Giza,Egypt
128,Accountant -Chinese Speaker,Full Time,On-site,Real Technology LLC,https://wuzzuf.net/jobs/careers/Real-Technology-LLC-Egypt-124015,Experienced,2 - 10 Yrs of Exp,Maadi,Cairo,Egypt
129,Accountant Intern,Internship,On-site,ICON Holding,https://wuzzuf.net/jobs/careers/ICON-Holding-Egypt-47223,Entry Level,UnKnown,UnKnown,Cairo,Egypt
130,Accountant Intern,Internship,On-site,Al-Freeh,https://wuzzuf.net/jobs/careers/Al-Freeh-Egypt-99651,Entry Level,UnKnown,Maadi,Cairo,Egypt
131,Accountant Manager,Full Time,On-site,MINISO LIFE,https://wuzzuf.net/jobs/careers/miniso-Egypt-26588,Manager,10 - 15 Yrs of Exp,Nasr City,Cairo,Egypt
132,Accountant Payable F&B,Full Time,On-site,Happy Joe's Pizza & Ice Cream - Middle East,https://wuzzuf.net/jobs/careers/Happy-Joe-s-Egypt-68871,Experienced,3 - 5 Yrs of Exp,6th of October,Giza,Egypt
133,Accountant Specialist,Full Time,On-site,CAPRICORN,https://wuzzuf.net/jobs/careers/CAPRICORN-Egypt-42222,Experienced,1 - 3 Yrs of Exp,Sheraton,Cairo,Egypt
134,Accountant and Auditor,Full Time,On-site,Al Sail Transports,https://wuzzuf.net/jobs/careers/Al Sail Transports-Bahrain-127062,Entry Level,4 - 6 Yrs of Exp,UnKnown,Manama,Bahrain
135,Accounting & Finance Manager mivida USA - Based in Egypt,Full Time,Remote,Tradeline International,https://wuzzuf.net/jobs/careers/Tradeline International-Egypt-90605,Manager,4 - 15 Yrs of Exp,UnKnown,Cairo,Egypt
136,Accounting Analyst,Full Time,On-site,warlina - egypt,https://wuzzuf.net/jobs/careers/warlina - egypt-Egypt-126429,Entry Level,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
137,Accounting Analyst,Full Time,On-site,Confidential,UnKnown,Experienced,5 - 8 Yrs of Exp,New Capital,Cairo,Egypt
138,Accounting Analyst,Full Time,On-site,Al Fanar for Marble and Granite,https://wuzzuf.net/jobs/careers/al-fanar-for-marble-and-granite-egypt-127926,Experienced,3 - 7 Yrs of Exp,New Cairo,Cairo,Egypt
139,Accounting Leader,Full Time,On-site,Leverage,https://wuzzuf.net/jobs/careers/Leverage-Egypt-87959,Manager,6 - 10 Yrs of Exp,Maadi,Cairo,Egypt
140,Accounting Manager,Full Time,On-site,Maxevia Corporate,https://wuzzuf.net/jobs/careers/MAC-Gym-Egypt-28638,Manager,5 - 10 Yrs of Exp,Nasr City,Cairo,Egypt
141,Accounting Manager,Full Time,On-site,Confidential,UnKnown,Manager,8 - 15 Yrs of Exp,10th of Ramadan City,Sharqia,Egypt
142,Accounting Manager,Full Time,On-site,je-x,https://wuzzuf.net/jobs/careers/je-x-Egypt-119960,Manager,5 - 10 Yrs of Exp,Heliopolis,Cairo,Egypt
143,Accounting Manager,Full Time,On-site,"Himed Egypt (Medin, Hamilton)",https://wuzzuf.net/jobs/careers/Himed-Egypt-Egypt-15418,Manager,7 - 10 Yrs of Exp,Heliopolis,Cairo,Egypt
144,Accounting Manager,Full Time,On-site,ECC Group,https://wuzzuf.net/jobs/careers/Egyptian-Cultural-Center-Egypt-17801,Manager,7 - 10 Yrs of Exp,Nasr City,Cairo,Egypt
145,Accounting Manager,Full Time,On-site,Elsewedy industries,https://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892,Manager,6 - 10 Yrs of Exp,New Cairo,Cairo,Egypt
146,Accounting Manager,Full Time,On-site,Alsafa Arro,https://wuzzuf.net/jobs/careers/Alsafa-Arro-Egypt-127446,Manager,10 - 12 Yrs of Exp,Sheraton,Cairo,Egypt
147,Accounting Manager,Full Time,On-site,EL RAYA for Trading and Marketing,https://wuzzuf.net/jobs/careers/EL-RAYA-Egypt-25836,Manager,3 - 5 Yrs of Exp,Tanta,Gharbia,Egypt
148,Accounting Manager,Full Time,On-site,BELLA DONNA FOR KITTING AND READY MADE GARMENTS,https://wuzzuf.net/jobs/careers/-110942,Manager,8 - 10 Yrs of Exp,Faisal,Giza,Egypt
149,Accounting Manager,Full Time,On-site,Confidential,UnKnown,Manager,5 - 20 Yrs of Exp,UnKnown,Cairo,Egypt
