id,job_title,work_type,workplace,company_name,company_page,experience_level,yrs_of_exp,address,city,country
806,HR & Recruitment Specialist,Full Time,On-site,Cubic,https://wuzzuf.net/jobs/careers/Cubic-Egypt-94451,Experienced,3 - 5 Yrs of Exp,New Cairo,Cairo,Egypt
807,HR - Concierge,Full Time,On-site,Intouch CX,https://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363,Entry Level,0 - 2 Yrs of Exp,Maadi,Cairo,Egypt
808,HR Admin Assistant,Full Time,On-site,Gulf English School Cairo,https://wuzzuf.net/jobs/careers/-98981,Entry Level,0 - 2 Yrs of Exp,New Cairo,Cairo,Egypt
809,HR Admin Assistant,Full Time,On-site,Alarabiya for industry and trading,https://wuzzuf.net/jobs/careers/Alarabiya-for-industry-and-trading-Egypt-66076,Experienced,3 - 6 Yrs of Exp,UnKnown,Alexandria,Egypt
810,HR Administrator,Full Time,On-site,Royal Co. for Paints & Chemical Industries,https://wuzzuf.net/jobs/careers/Royal Co. for Paints & Chemical Industries-Egypt-127639,Entry Level,0 - 2 Yrs of Exp,6th of October,Giza,Egypt
811,HR Administrator,Full Time,On-site,Petz Zone,https://wuzzuf.net/jobs/careers/-101433,Experienced,5 - 8 Yrs of Exp,New Cairo,Cairo,Egypt
812,HR Assistant,Internship,On-site,Procrew,https://wuzzuf.net/jobs/careers/Procrew-Egypt-48518,Entry Level,UnKnown,San Stefano,Alexandria,Egypt
813,HR Business Partner,Full Time,On-site,Energya Steel Fabrication- Elsweedy Helal,https://wuzzuf.net/jobs/careers/Energya-Steel-Solutions-Egypt-48605,Experienced,8+ Yrs of Exp,10th of Ramadan City,Sharqia,Egypt
814,HR Business Partner,Full Time,On-site,Seoudi Supermarket,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,Experienced,2 - 5 Yrs of Exp,UnKnown,Giza,Egypt
815,HR Business Partner,Full Time,On-site,Yes Pac,https://wuzzuf.net/jobs/careers/Yes-Pac-Egypt-20413,Experienced,4 - 7 Yrs of Exp,6th of October,Giza,Egypt
816,HR Coordinator,Full Time,On-site,Shorouk Specialised Hospital  (Swiss Management),https://wuzzuf.net/jobs/careers/Shorouk Specialised Hospital (Swiss Management)-Egypt-82740,Entry Level,1 - 1 Yrs of Exp,Shorouk City,Cairo,Egypt
817,HR Coordinator,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 2 Yrs of Exp,Heliopolis,Cairo,Egypt
818,HR Coordinator,Internship,On-site,ICON Holding,https://wuzzuf.net/jobs/careers/ICON-Holding-Egypt-47223,Entry Level,0 - 1 Yrs of Exp,Helwan,Cairo,Egypt
819,HR Coordinator,Full Time,On-site,Intaj Alamal,https://wuzzuf.net/jobs/careers/Intag-Alamal-Egypt-46439,Experienced,1 - 3 Yrs of Exp,Maadi,Cairo,Egypt
820,HR Coordinator,Full Time,On-site,OPPO Egypt  Manufacturing,https://wuzzuf.net/jobs/careers/OPPO-Egypt--Manufacturing-Egypt-118061,Entry Level,0 - 1 Yrs of Exp,10th of Ramadan City,Cairo,Egypt
821,HR Coordinator,Full Time,On-site,ARX | Smart Minds,https://wuzzuf.net/jobs/careers/FCBM-1635,Experienced,2 - 5 Yrs of Exp,New Cairo,Cairo,Egypt
822,HR Coordinator,Full Time,On-site,classera,https://wuzzuf.net/jobs/careers/Eureka-Egypt-27241,Entry Level,1 - 8 Yrs of Exp,New Beni Suef,Beni Suef,Egypt
823,HR Data Analyst,Full Time,On-site,British University of Egypt,https://wuzzuf.net/jobs/careers/British-University-of-Egypt-Egypt-70684,Experienced,2 - 4 Yrs of Exp,Shorouk City,Cairo,Egypt
824,HR Director,Full Time,On-site,Khaled Khoshala for Industry  and Trading Co. (Avanti),https://wuzzuf.net/jobs/careers/Khaled Khoshala for Industry and Trading Co. (Avanti)-Egypt-127608,Senior Management,10+ Yrs of Exp,Obour City,Cairo,Egypt
825,HR Generalist,Full Time,On-site,NewTech Company,https://wuzzuf.net/jobs/careers/-86890,Entry Level,1 - 2 Yrs of Exp,Garden City,Cairo,Egypt
826,HR Generalist,Full Time,On-site,Confidential,UnKnown,Experienced,2+ Yrs of Exp,UnKnown,Cairo,Egypt
827,HR Generalist,Full Time,On-site,AME GROUP,https://wuzzuf.net/jobs/careers/AME-GROUP-Egypt-126364,Experienced,3 - 10 Yrs of Exp,Madinaty,Cairo,Egypt
828,HR Intern,Hybrid,Internship,Grouhy,https://wuzzuf.net/jobs/careers/electronic-house-Egypt-24937,Student,0 - 1 Yrs of Exp,Downtown,Cairo,Egypt
829,HR Intern,Internship,On-site,Dreem Mashreq Foods,https://wuzzuf.net/jobs/careers/DREEM---Mashreq-Group-Egypt-7358,Entry Level,UnKnown,UnKnown,Alexandria,Egypt
830,HR Intern – Talent Management (Paid Internship),Internship,On-site,Sky logistics,https://wuzzuf.net/jobs/careers/Sky-logistics-Egypt-43527,Entry Level,UnKnown,Sheikh Zayed,Giza,Egypt
831,HR Lead,Full Time,On-site,T&D Design,https://wuzzuf.net/jobs/careers/T-D-Design-Egypt-16390,Experienced,8 - 10 Yrs of Exp,UnKnown,Cairo,Egypt
832,HR Manager,Full Time,On-site,Red Sea Shipyard,https://wuzzuf.net/jobs/careers/Red-Sea-Shipyard-Egypt-118748,Senior Management,10 - 20 Yrs of Exp,Heliopolis,Cairo,Egypt
833,HR Manager,Full Time,On-site,Grouhy,https://wuzzuf.net/jobs/careers/electronic-house-Egypt-24937,Manager,5+ Yrs of Exp,Downtown,Cairo,Egypt
834,HR Manager (Generalist) - Individual Contributor,Full Time,On-site,Act Corporate Services,https://wuzzuf.net/jobs/careers/Act Corporate Services-United Arab Emirates-118340,Manager,15+ Yrs of Exp,Nasr City,Cairo,Egypt
835,HR OD Specialist,Full Time,On-site,Kasrawy Group,https://wuzzuf.net/jobs/careers/Kasrawy-Group-Egypt-43947,Experienced,2 - 4 Yrs of Exp,Abu Rawash,Giza,Egypt
836,HR Operations,Full Time,On-site,COB Solution,https://wuzzuf.net/jobs/careers/COB Solution-Egypt-112388,Experienced,2 - 3 Yrs of Exp,Maadi,Cairo,Egypt
837,HR Operations Senior Specialist,Full Time,On-site,Al Ahly Momkn for e-payment,https://wuzzuf.net/jobs/careers/Al-Ahly-Momkn-for-e-payment-Egypt-70281,Experienced,3+ Yrs of Exp,UnKnown,Cairo,Egypt
838,HR Operations Specialist,Full Time,On-site,Vivo Egypt,https://wuzzuf.net/jobs/careers/Vivo-Egypt-Egypt-59596,Experienced,2 - 3 Yrs of Exp,Maadi,Cairo,Egypt
